Date,Newspaper,TypeOfArticle,View.Grade,News.Grade,ArticleName,Coresspondent,Summary,Tag1,Tag2,Language,VG.Score,NG.Score,Total.Score
2020-07-22T00:00:00Z,Dinamina,Long Opinion,Neutral,Neutral,The Brave Leadership of a Pure Government,Hemamala Randunu,Author takes issue with the dropping of race and religion in the Birth Certificate and analyses alternatives. Says that Sri Lanka should focus on a happiness driven economy as opposed to a GDP driven economy such as Norway.,NA,NA,Sinhala,0,0,0
2020-07-22T00:00:00Z,Daily Mirror,Feature,Neutral,Neutral,Another Long Walk to the Polls,Kamanthi Wickramasinghe,Plantation workers are often disenfranchised and forgotten by politicians. A Norwegian anthropologist determined by his study on Tamil Plantation Workers' Unions that a majority of these individuals are of South Indian descent.,NA,NA,English,0,0,0
2020-07-22T00:00:00Z,Daily Mirror,News,Negative,Neutral,Today in History,NA,Today on 2011 a right-wing Norwegian extremist killed 77 people in Central Oslo and on the island of Utoeya.,NA,NA,English,-1,0,-1
2020-07-22T00:00:00Z,Tamil Mirror,Short Opinion,Positive,Neutral,"Why Tamil, Muslim parties support Sajith?",NA,"There is no policy basis for the Tamil, Muslim parties to abandon the Ranil Wickremesinghe-led United National Party and jump to the Sajid Premadasa-led Samagi Jana Balawegaya. Ranil Wickremesinghe weakened the LTTE through the Ceasefire Agreement and the Peace Talks. He signed the ceasefire agreement that applies only to the ground and destroyed 10 LTTE warships at sea.",NA,NA,Tamil,1,0,1
2020-07-22T00:00:00Z,Virakesari,Editorial,Positive,Neutral,Sajith should understand the political need of Tamil speaking people,NA,"Sajith should understand that the 13th Amendment to the Constitution is the beginning of a solution to the national ethnic problem, not a fundamental solution or a final one and the Provincial Council under the 13th Amendment does not meet the political needs of the Tamil speaking people. It is noteworthy that through the Oslo Declaration, the leader of the United National Party, Ranil Wickremesinghe, sought a formal settlement. Therefore, Sajith Premadasa must first understand the historical background and think about the approach to the ethnic solution.",NA,NA,Tamil,1,0,1
2020-07-21T00:00:00Z,Aruna,Long Opinion,Neutral,Neutral,Vijamu Recites the Three Sutra Whilst Sittting on the Speaker's Chair,Ranjith Gunawardane,Author described the affiliations Ranil Wickramasinghe had with the LTTE. The signing of the Oslo-hosted Cease Fire Agreement had a massive impact on the 2004 Election for the United National Party.,NA,NA,Sinhala,0,0,0
2020-07-21T00:00:00Z,Daily FT,Long Opinion,Neutral,Neutral,Elimination of factors which contributed to terrorist attacks vital to prevent future attacks,M. M. Zuhair,Author argues that the rise of Islamic Extremism can be attributed to rising tensions within the community. These majoritarian views were fostered after Mahinda Rajapaksa returned from Norway in 2011.,NA,NA,English,0,0,0
2020-07-21T00:00:00Z,The Island,Long Opinion,Neutral,Neutral,A less crowded planet,Gwynne Dyer,Author analyses birth rates of various countries to determine their populations by 2100. Countries like Canada and Norway will have increased their populations by 2100.,NA,NA,English,0,0,0
2020-07-21T00:00:00Z,Ceylon Today,Column,Negative,Neutral,"Foreign Funds, Friends & Foes Engaging in Geneva",Prof Rajiva Wijesinha,"Describes the attempts by the Sri Lankan government to sway international opinion in Geneva, 2007. Now is the best time to get onto the good graces of the EU as UK, Switzerland and Norway, the strongholds of pro-LTTE opinions are not in the EU.",NA,NA,English,-1,0,-1
2020-07-21T00:00:00Z,Tamil Mirror,Long Opinion,Neutral,Neutral,Disappeared curiosity,Dhurga,"Even though the entire Tamil people did not vote in the 1994 presidential election, they had great faith in Chandrika. She was considered as an angel of peace. But as usual she could not bring peace and coexistence but was able to give the bombings and sanctions to the Tamils. In this context, the Norwegian government sponsored negotiation was held between the Sri Lankan government and the LTTE in 2002.",NA,NA,Tamil,0,0,0
2020-07-20T00:00:00Z,The Island,News,Neutral,Neutral,Easter Sunday carnage: Ex-MP blames Parliament for seriour lapse ,M. M. Zuhair,Author argues that the rise of Islamic Extremism can be attributed to rising tensions within the community. These majoritarian views were fostered after Mahinda Rajapaksa returned from Norway in 2011.,NA,NA,English,0,0,0
2020-07-20T00:00:00Z,Daily News,Long Opinion,Neutral,Neutral,"ACSA, SOFA, MCC - Once concluded there is no walking away from treaties",Palitha Kohona,There are implications if a country decides not to sign a foreign treaty. Author discussed the implications on the MCC when the Government of Sri Lanka signed the Oslo-hosted Cease Fire Agreement.,NA,NA,English,0,0,0
2020-07-20T00:00:00Z,Virakesari,Long Opinion,Neutral,Neutral,inappirachchanai…..,P. Radhakrishnan,Ranil signed the peace agreement with the Liberation Tigers of Tamil Eelam (LTTE) in 2002 to ensure lasting peace in the country and for all people to live equally. Former Deputy Minister Radhakrishnan says Chandrika deliberately broke the agreement in order to retain power.,NA,NA,Tamil,0,0,0
2020-07-19T00:00:00Z,Lankadeepa,Feature,Neutral,Neutral,The Tesla Company that built the Electric Car,NA,Feature article on the Tesla Motor Company. The country that uses the most amount of Tesla's is Norway.,NA,NA,Sinhala,0,0,0
2020-07-19T00:00:00Z,Aruna,Long Opinion,Neutral,Neutral,Dried Tuna to be Imported from Dubai,NA,Sri Lanka has been importing large quantities of dried fish. The most famed fish in the world are Norwegian.,NA,NA,Sinhala,0,0,0
2020-07-19T00:00:00Z,Aruna,Long Opinion,Negative,Neutral,"President Chandrika, Prime Minister Ranil, Government in chaos",Harshani Dissanayake,Author revisits the context of the Sri Lankan government where the President and Prime Minister were from two different political parties. The 2002 Oslo-hosted Cease Fire Agreement was a key point in the government,NA,NA,Sinhala,-1,0,-1
2020-07-19T00:00:00Z,Lankadeepa,Long Opinion,Neutral,Neutral,Husband Saves Life due to Fear Wife Had,NA,Author analyses the claims of a pseudo-telepathy in which the individuals are able to foresee their deaths. Uses an example of a Norwegian incident where the potential travelers decided to reschedule a train that met an untimely fate.,NA,NA,Sinhala,0,0,0
2020-07-18T00:00:00Z,Divaina,News,Negative,Neutral,Geneva to Try War Crimes Against Sri Lanka,NA,British Ambassador to push the Geneva resolutions against Sri Lanka on the account for war crimes. A majority of the war criminals are now under diplomatic protection from countries such as Norway.,NA,NA,Sinhala,-1,0,-1
2020-07-18T00:00:00Z,The Island,Feature,Neutral,Neutral,"The Good, the Bad and the Ugly ",Rohana R. Wasala ,Author provides context on the current political situation within the country. Uses the Shakespeare play 'Macbeth' as a metaphor in which the armies of Scotland and Norway are engaged in mortal combat.,NA,NA,English,0,0,0
2020-07-18T00:00:00Z,Thinakkural,Long Opinion,Neutral,Neutral,Development should not be a trap for denial of political rights,Izhaiyathambi  Thambaiya,"The LTTE's lack of clarity and confidence in the LTTE's short-term and long - term plans after its short - lived relationship with Premadasa, and the LTTE's rejection of the 2000 Norwegian - sponsored negotiations on Chandrika's settlement plan which led to the abandonment of the conspiracy of the chauvinism.",NA,NA,Tamil,0,0,0
2020-07-17T00:00:00Z,Dinamina,News,Negative,Neutral,If there are any Discrepancies Regarding Pay in the Private Sector they can be Reported to the Labor Department,NA,Excerpt from the Media Briefing hosted by the Minister Bandula Gunawardane. He stated that COVID-19 spread has been prevented within Sri Lanka and even in countries like Norway there have been more than 250 deaths due to COVID-19.,NA,NA,Sinhala,-1,0,-1
2020-07-17T00:00:00Z,Dinamina,Long Opinion,Neutral,Neutral,United National Front Party Received help from the Tamil Diaspora to Overthrow the Previous Government,Roshan Thushara,United National Front was aided by the Tamil Diaspora to overthrow the Mahinda Rajapakse government. After the 2002 Oslo-hosted Cease Fire Agreement the LTTE received some legitimacy.,NA,NA,Sinhala,0,0,0
2020-07-17T00:00:00Z,Divaina,News,Negative,Neutral,Switzerland Sells $530 Million worth of Weapons under the Guise of COVID-19,NA,Switzerland sells $530 million worth of weapons to other countries under the guise of COVID-19. These sales were mostly to European countries and Norway is one of the buyers.,NA,NA,Sinhala,-1,0,-1
2020-07-17T00:00:00Z,Tamil Mirror,News,Positive,Neutral,"39, 934 houses in 28 years",K. A. Kokilavani,"Former President of the Human Development Center and United National Party Nuwara Eliya District Candidate V. Puthirasikamani reported that, the Norwegian government and the Dutch government had built 14,000 houses in the plantation areas. Also he stated that the Norwegian-Dutch government had built the largest number of houses ever built in the hills.",NA,NA,Tamil,1,0,1
2020-07-17T00:00:00Z,Thinakaran,Long Opinion,Negative,Neutral,The majorities are radicals in the gang that hurts the Muslim community,NA,"Former Member of Parliament Presidential Counsel M. M. Zuhair denounces that they cannot hide the dual role played by NATO countries including India, Israel, USA and Norway as they have not yet completed their duties in Sri Lanka.",NA,NA,Tamil,-1,0,-1
2020-07-16T00:00:00Z,Lankadeepa,Long Opinion,Neutral,Neutral,The Government Institutions that are burdened onto the public,NA,Author analyses the expenses of running a Government Institution. Government Institutions not only exist in developing countries but also in developed countries such as Norway.,NA,NA,Sinhala,0,0,0
2020-07-16T00:00:00Z,Daily Mirror,Long Opinion,Negative,Neutral,"Upcoming Election a Turning Point, says Analyst",Kamanthi Wickramasinghe,Reminiscences of past elections in Sri Lanka. 2001 Oslo-hosted Cease Fire Agreement was a key event that occurred in an early 2000s election.,NA,NA,English,-1,0,-1
2020-07-16T00:00:00Z,The Island,Feature,Neutral,Neutral,"ACSA, SOFA, MCC Once concluded there is no walking away from treaties ",Dr. Palitha Kohona ,Author argues on the implication of receiving foreign treaties. Uses the Oslo-hosted Cease Fire Agreement as an example.,NA,NA,English,0,0,0
2020-07-16T00:00:00Z,Virakesari,News,Negative,Negative,Tension by a man who stabbed three women in Norway,NA,A woman was killed and two others were injured in a stabbing attack in Norway. Incident which had held at different locations in the Sarpsborg city of the capital Oslo has created a tension situation. The deceased woman was stabbed at the bus stand and another woman was stabbed in her own home while she was watching television. Following the incident the attacker directly went to his house and injured his wife with the knife. The police was conducting a serious investigation in this regard.,NA,NA,Tamil,-1,-1,-2
2020-07-15T00:00:00Z,Divaina,Long Opinion,Positive,Neutral,Can Women Lead the Way from Failed Leaderships?,NA,In status quo it is evident that countries with female leadership has generally been far better in reducing the spread of COVID-19. Norway is among one of these countries.,NA,NA,Sinhala,1,0,1
2020-07-15T00:00:00Z,Aruna,Long Opinion,Neutral,Neutral,Gamini Rebelled Against Ranil First in 2000,Ranjith Gunawardane,During Ranil Wickramasinghe's tour of Norway certain disagreements that occurred within his other party members led to Gamini Lokuge creating a faction within the United National Party.,NA,NA,Sinhala,0,0,0
2020-07-14T00:00:00Z,Dinamina,Long Opinion,Negative,Neutral,"The 2004 Election that made Mahinda Rajapakse, President.",NA,Describes the context within the country in the run up to the 2004 Election. The 2001 Oslo-hosted Cease Fire Agreement played a key role in the voter dynamics.,NA,NA,Sinhala,-1,0,-1
2020-07-14T00:00:00Z,Daily Mirror,Feature,Neutral,Neutral,A true ‘Wonder Crystal’,Shehara Ratnasinghe,Sybil Wettasinghe has passed away. Some of her work has been translated into many languages including Norwegian.,NA,NA,English,0,0,0
2020-07-14T00:00:00Z,Daily Mirror,News,Neutral,Neutral,"Funding sources broadened, loans offered to lure more forex into Special Deposit Account",NA,Special Deposit Account broadens the types of currencies that can be deposited inside. Included now is the Norwegian kroner.,NA,NA,English,0,0,0
2020-07-14T00:00:00Z,Daily Mirror,Feature,Neutral,Neutral,Spa Ceylon Opens 100th  store,NA,Spa Ceylon recently opened their 100th store worldwide. They had also recently begun operations in Norway.,NA,NA,English,0,0,0
2020-07-14T00:00:00Z,Thinakaran,News,Neutral,Neutral,Many of the traitors are there in the politics like they are genuine,NA,"During the youth meet in Kalmunai, Karuna Amman delivered a speech in the theme of ""am I a traitor""? In the speech he had stated, following the ceasefire agreement with Sri Lankan Government and war stoppage in 2002, with the sponsorship of Norwegian Government Peace Negotiations held in the capital Oslo between LTTE and Sri Lankan government. On behalf of LTTE with the advisor Anton Balasingham, he too had attended the event.",NA,NA,Tamil,0,0,0
2020-07-14T00:00:00Z,Virakesari,News,Neutral,Neutral,Am I a traitor? Karuna's explanation to youth in Kalmunai,NA,"During the youth meet in Kalmunai, Karuna Amman delivered a speech in the theme of ""am I a traitor""? In the speech he had stated, following the ceasefire agreement with Sri Lankan Government and war stoppage in 2002, with the sponsorship of Norwegian Government Peace Negotiations held in the capital Oslo between LTTE and Sri Lankan government. On behalf of LTTE with the advisor Anton Balasingham, he too had attended the event.",NA,NA,Tamil,0,0,0
2020-07-13T00:00:00Z,Divaina,Long Opinion,Neutral,Neutral,Necessary to Have Politicians who Understand Science,Prof. Jayantha Laal Rathnasekara,Author argues for the need for politicians who understands science. Says that countries like Norway mostly have Government funded research.,NA,NA,Sinhala,0,0,0
2020-07-13T00:00:00Z,Daily FT,Long Opinion,Negative,Neutral,"Muslims who opposed separatism, merger saddened by hate campaigns by extremist few",M. M. Zuhair,Discusses the stake the Muslim population had in the 3-decade war.Author says that people have not forgotten the involvement of NATO nations such as Norway in this conflict.,NA,NA,English,-1,0,-1
2020-07-13T00:00:00Z,The Island,News,Negative,Neutral,Muslims who opposed separatism and merger saddened by unceasing and revengeful hate campaigns by an extremist few,NA,Discusses the stake the Muslim population had in the 3-decade war. Author says that people have not forgotten the involvement of NATO nations such as Norway in this conflict.,NA,NA,English,-1,0,-1
2020-07-13T00:00:00Z,The Island,Feature,Neutral,Neutral,Elections in Sri Lanka - some reminiscences - || ,Dr. V.J.M. De Silva ,Reminiscences of past elections in Sri Lanka. 2001 Oslo-hosted Cease Fire Agreement was a key event that occurred in an early 2000s election.,NA,NA,English,0,0,0
2020-07-12T00:00:00Z,Divaina,Long Opinion,Negative,Neutral,Australia Remembrance for 346 Black Tiger Fighters,NA,Remembrance Ceremony held in Australia for 346 Black Tiger Fighters (Suicide Bombers). Most of these fighters fled to countries like Canada and Norway after the Black Tigers were brought down by the government military.,NA,NA,Sinhala,-1,0,-1
2020-07-12T00:00:00Z,Ravaya,Long Opinion,Neutral,Neutral,Mangala Samaraweera is just a Traditional Liberal,Kusal Perera,Describes the political history of the former Minister Mangala Samaraweera. He was principally opposed to the Oslo-hosted Cease Fire Agreement.,NA,NA,Sinhala,0,0,0
2020-07-12T00:00:00Z,Ravaya,Long Opinion,Neutral,Neutral,"""Children should be Free During Their Childhood""",NA,Sybil Wettasinghe has passed away. Some of her work has been translated to many languages including Norwegian.,NA,NA,Sinhala,0,0,0
2020-07-12T00:00:00Z,The Sunday Times,Short Opinion,Neutral,Neutral,He led a full life,Natascha Hendrichs,The author writes about her recently deceased father. He was inspired to travel and explore by the famous Norwegian adventurer Thor Heyerdahl.,NA,NA,English,0,0,0
2020-07-12T00:00:00Z,The Sunday Times,Feature,Neutral,Neutral,Award of Merit for ‘The Newspaper’,NA,Directors of the film 'The Newspaper' received an award at the IndieFEST Film Awards. This event has previously awarded individuals from many countries including Norway.,NA,NA,English,0,0,0
2020-07-12T00:00:00Z,Sunday Observer,Feature,Neutral,Neutral,Managing media on the road to Nanthikadal,Palitha Kohona,Author describes the media's involvement in the war against the LTTE. Mentions the Oslo-hosted Cease Fire Agreement as a key stage in the war.,NA,NA,English,0,0,0
2020-07-12T00:00:00Z,The Island,Short Opinion,Neutral,Neutral,Helmut Hendrichs three month remembrance 1953 - 2020,Natascha Hendrichs,The author writes about her recently deceased father. He was inspired to travel and explore by the famous Norwegian adventurer Thor Heyerdahl.,NA,NA,English,0,0,0
2020-07-12T00:00:00Z,Virakesari,Feature,Neutral,Neutral,The Literature of Diaspora and the life of Diaspora,Ira. Udhayanan,"The writer says the most of the Ezham Tamils who faced two types of situations in their life are now living in European countries including Norway. Tamils who had been trying to settle in, in the new land or new environment, mainly focused on studying the language of the migrated country and finding a new job and working tirelessly.",NA,NA,Tamil,0,0,0
2020-07-12T00:00:00Z,Virakesari,Feature,Neutral,Neutral,Sri Lankans who return to homeland Tamil Nadu,Malliyappusanthi Thilagar,This article is an important note about the research guide of M. Vaamadevan. 'Sri Lankan Repatriates in Tamil Nadu' is a research guide which was written when he was gone to Tamil Nadu for rehab and as the next step of his previous research he expanded the guide 'NORAD Norwegian Agency for International Development' with the sponsorship of institutional finance.,NA,NA,Tamil,0,0,0
2020-07-11T00:00:00Z,Thinakkural,Long Opinion,Neutral,Neutral,Sambanthan's stumble over India,Yadheenthira,"When observing recent operations of Sambanthan it is obviously seen that, without the intervention of India he could be able to find a political solution. Sambanthan - Ranil relationship which was happed after the regime Change in 2015 is mostly like the Oslo negotiation. During Oslo negotiation India just stayed as a spectator and it doesn't intervent in Norway but still observed everything.",NA,NA,Tamil,0,0,0
2020-07-10T00:00:00Z,Lankadeepa,Long Opinion,Neutral,Neutral,Election Gets Heated,NA,"Author provides context on the political situation in Sri Lanka. Prime Minister says that while the previous government wanted to vote Canada and Norway into the Security Council, the current government voted for Kenya and India.",NA,NA,Sinhala,0,0,0
2020-07-10T00:00:00Z,Daily News,Feature,Neutral,Neutral,Spa Ceylon crosses 100 stores globally,NA,Spa Ceylon has over 100 stores globally. Spa Ceylon has a store in Norway as well.,NA,NA,English,0,0,0
